rest,category,score,count,latitude,longitude,post
몽크스부처 한남동,채식,4.0,16,37.535452,126.9992256,서울 용산구 이태원로 228-1
플랜트 연남점,채식,4.4,7,37.5596837,126.9231965,서울 마포구 월드컵북로4길 87
위어도우 연희동,채식,4.1,5,37.5746132,126.9274351,서울 서대문구 증가로 80
나누미 떡볶이 성대본점,분식,4.0,71,37.5837668,126.9979068,서울 종로구 성균관로 9-1
또보겠지떡볶이집 붕붕허니비점,분식,4.4,103,37.5589783,126.9244242,서울 마포구 양화로19길 22-25
쪼매매운떡볶이 공릉,분식,4.4,36,37.6281849,127.0778159,서울 노원구 공릉로 208
고른햇살 안암,분식,4.2,48,37.5870154,127.0294687,서울 성북구 개운사길 14
조이떡볶이 합정,분식,4.5,17,37.5484696,126.9134228,서울 마포구 양화로 36
오월의김밥 낙성대,분식,4.8,26,37.4760838,126.9646138,서울 관악구 봉천로 605
강가네 떡볶이 광장시장,분식,4.4,28,37.570638,127.0004749,서울 종로구 종로32길 2
애플하우스 이수역,분식,3.9,202,37.4863013,126.9806796,서울 동작구 동작대로27다길 29
이공김밥 안암본점,분식,4.3,24,37.582375,127.0284678,서울 성북구 안암로 61-6
명화당 1호점,분식,3.8,34,37.5623945,126.983795,서울 중구 명동4길 32
김밥처럼 선유도역점,분식,4.6,13,37.5388935,126.8945481,서울 영등포구 선유로49길 23
잠원떡볶이 잠원동,분식,4.3,11,37.5130867,127.010978,서울 서초구 잠원로4길 45
악어떡볶이 왕십리,분식,4.2,72,37.5607215,127.041011,서울 성동구 마조로 33
마포원조떡볶이 마포역,분식,4.0,62,37.5403569,126.9487607,서울 마포구 도화2길 3
신토불이 떡볶이 아차산,분식,4.0,127,37.5526,127.0905,서울 광진구 자양로43길 42
진아네떡볶이 장충동,분식,4.3,7,37.5615801,127.0055004,서울 중구 퇴계로56길 52
현선이네 용산본점,분식,4.3,42,37.5311551,126.9692251,서울 용산구 한강대로39길 2-13
또보겠지떡볶이집 몽글몽글청계점,분식,4.3,29,37.5696639,126.9872446,서울 종로구 삼일대로19길 6
홍대조폭떡볶이 홍대2호점,분식,4.2,29,37.5558918,126.9237556,서울 마포구 홍익로6길 38
맛있는집 북가좌동,분식,4.9,16,37.5804503,126.9108632,서울 서대문구 거북골로20길 55
커피한약방 을지로3가역,카페,4.2,89,37.5665774,126.9886173,서울 중구 삼일대로12길 16-6
호랑이 세운상가,카페,4.6,57,37.5671459,126.9954512,서울 중구 을지로 157
테일러커피 연남1호점,카페,4.2,67,37.5631113,126.9263399,서울 마포구 성미산로 189
스타벅스 경동1960점,카페,4.4,66,37.5796141,127.0386849,서울 동대문구 고산자로36길 3
로우 커피 스탠드 성수,카페,4.6,37,37.5471789,127.0466518,서울 성동구 왕십리로4길 28-2
더숲 초소책방 종로구,카페,4.4,46,37.5859415,126.964205,서울 종로구 인왕산로 172
어나더사이드 발산역,카페,4.6,33,37.5540458,126.8371389,서울 강서구 강서로 318
맨홀커피 영등포,카페,4.4,34,37.5292718,126.903915,서울 영등포구 영신로 247
포비 광화문,카페,4.4,84,37.5707725,126.9787991,서울 종로구 종로3길 17
앤트러사이트 서교점,카페,4.5,29,37.5555156,126.9116843,서울 마포구 월드컵로12길 11
스타벅스 장충라운지R점,카페,4.4,23,37.5611012,127.00739,서울 중구 장충단로4길 25
콜린 홍대,카페,4.3,49,37.549231,126.9204345,서울 마포구 어울마당로 45
모츠커피 건대,카페,4.5,38,37.5446685,127.0704626,서울 광진구 군자로3길 14
겟썸커피 롯데월드몰,카페,4.3,33,37.5125702,127.1025625,서울 송파구 올림픽로 300
텅 안국역,카페,4.4,35,37.5771872,126.9881544,서울 종로구 율곡로 82
테라로사 포스코센터점,카페,4.3,41,37.5060634,127.0560829,서울 강남구 테헤란로 440
카페 공명 홍대점,카페,4.6,37,37.5499077,126.9220185,서울 마포구 와우산로17길 11-8
스탠다드시스템 청담,카페,4.5,14,37.5225773,127.0435695,서울 강남구 선릉로148길 48-5
빈브라더스 커피하우스 서울 상수,카페,4.9,19,37.5452009,126.9244369,서울 마포구 토정로9길 2
카페 코인 명동1호점,카페,4.4,41,37.5628733,126.9841514,
커피한약방 을지로3가역,디저트,4.2,89,37.5665774,126.9886173,서울 중구 삼일대로12길 16-6
파이홀 신촌,디저트,4.4,69,37.5570098,126.9350548,서울 서대문구 연세로5나길 20
테일러커피 연남1호점,디저트,4.2,67,37.5631113,126.9263399,서울 마포구 성미산로 189
패션5 한남동,디저트,4.2,57,37.5386535,127.001938,서울 용산구 이태원로 272
모츠커피 건대,디저트,4.5,38,37.5446685,127.0704626,서울 광진구 군자로3길 14
어나더사이드 발산역,디저트,4.6,33,37.5540458,126.8371389,서울 강서구 강서로 318
이미커피 홍대,디저트,4.2,34,37.5574767,126.9219163,서울 마포구 동교로25길 7
듀윗 신대방삼거리역,디저트,4.4,25,37.5003668,126.9267222,서울 동작구 대방동1길 10
카페 공명 홍대점,디저트,4.6,37,37.5499077,126.9220185,서울 마포구 와우산로17길 11-8
맨홀커피 영등포,디저트,4.4,34,37.5292718,126.903915,서울 영등포구 영신로 247
파롤앤랑그 연남동,디저트,4.5,33,37.5649847,126.9228619,서울 마포구 성미산로29안길 8
러시아 케익 동대문,디저트,4.5,43,37.5658498,127.005898,서울 중구 을지로42길 7
카페 코인 명동1호점,디저트,4.4,41,37.5628733,126.9841514,
더숲 초소책방 종로구,디저트,4.4,46,37.5859415,126.964205,서울 종로구 인왕산로 172
껠끄쇼즈 한티역,디저트,4.5,18,37.4969632,127.0566731,서울 강남구 도곡로70길 5
KAFE TONE 성산동,디저트,4.9,16,37.559216,126.9081088,서울 마포구 성미산로1길 26
스타벅스 장충라운지R점,디저트,4.4,23,37.5611012,127.00739,서울 중구 장충단로4길 25
콜린 홍대,디저트,4.3,49,37.549231,126.9204345,서울 마포구 어울마당로 45
겟썸커피 롯데월드몰,디저트,4.3,33,37.5125702,127.1025625,서울 송파구 올림픽로 300
천상가옥 성수,디저트,4.3,40,37.54166,127.056862,서울 성동구 성수이로14길 14
커피한약방 을지로3가역,베이커리,4.2,89,37.5665774,126.9886173,서울 중구 삼일대로12길 16-6
스타벅스 경동1960점,베이커리,4.4,66,37.5796141,127.0386849,서울 동대문구 고산자로36길 3
장블랑제리 낙성대,베이커리,4.5,78,37.477136,126.9619864,서울 관악구 낙성대역길 8
더숲 초소책방 종로구,베이커리,4.4,46,37.5859415,126.964205,서울 종로구 인왕산로 172
루엘드파리 남부터미널,베이커리,4.4,31,37.4840594,127.0173499,서울 서초구 서초중앙로 18
패션5 한남동,베이커리,4.2,57,37.5386535,127.001938,서울 용산구 이태원로 272
자연도소금빵 in 성수,베이커리,4.6,73,37.542326,127.0555087,서울 성동구 연무장길 56-1
아오이토리 홍대,베이커리,4.2,54,37.554751,126.9294621,서울 마포구 와우산로29길 8
베통 성수 플래그십 성수,베이커리,4.7,44,37.5429356,127.0552214,
폴앤폴리나 연희동,베이커리,4.6,17,37.5688946,126.9290813,서울 서대문구 연희로11길 56
만동제과 홍대,베이커리,4.5,45,37.561526,126.9272585,서울 서대문구 연희로 32
베이커리 오월의종 타임스퀘어,베이커리,4.2,33,37.5168698,126.9044002,서울 영등포구 영중로 15
오파토 해방촌,베이커리,4.6,19,37.5433502,126.9879735,서울 용산구 신흥로12길 4
아우어베이커리 도산본점,베이커리,4.2,35,37.5235686,127.0368457,서울 강남구 도산대로45길 10-11
카페 공명 홍대점,베이커리,4.6,37,37.5499077,126.9220185,서울 마포구 와우산로17길 11-8
그레도 제빵사 석계역,베이커리,4.2,32,37.6134032,127.0621791,서울 성북구 화랑로 304
아베베베이커리 광장시장,베이커리,4.4,79,37.5695463,126.9999438,서울 종로구 청계천로 201
어니언 성수점,베이커리,3.9,101,37.5446909,127.0581051,서울 성동구 아차산로9길 8
천상가옥 성수,베이커리,4.3,40,37.54166,127.056862,서울 성동구 성수이로14길 14
브로트아트 여의도,베이커리,4.4,29,37.5224582,126.9311482,서울 영등포구 국제금융로7길 3
빠우 세운상가,간식,4.7,34,37.5671459,126.9954511,서울 중구 을지로 157
훈훈호떡 망원동,간식,4.3,52,37.5559349,126.906324,서울 마포구 포은로6길 25
남대문 야채호떡 남대문시장,간식,4.3,35,37.5605781,126.9772055,서울 중구 남대문시장길 14
앤티앤스프레즐 용산아이파크몰점,간식,4.1,13,37.5297717,126.9647415,서울 용산구 한강대로23길 55
츄로101 홍대,간식,4.6,16,37.5557643,126.9242936,서울 마포구 어울마당로 128
파오파오 잠실,간식,4.3,47,37.5089063,127.0840251,서울 송파구 석촌호수로12길 22
현대붕어빵 성수,간식,4.3,9,37.5438543,127.050308,서울 성동구 연무장길 6-1
홍콩빵태국커피 서촌,간식,4.3,12,37.5769419,126.9695228,서울 종로구 자하문로1길 53
스트릿츄러스 타임스퀘어점,간식,4.4,14,37.516913,126.9032185,서울 영등포구 영중로 15
델리델리 명동,간식,4.4,12,37.5607989,126.9849261,서울 중구 충무로1가 26-1
경기떡집 망원,간식,4.5,11,37.5550464,126.9102831,서울 마포구 동교로9길 24
보리원 파크리오점,간식,5.0,1,37.5203138,127.1132814,서울 송파구 올림픽로35길 10
우마이 당고 연남동,간식,4.6,5,37.5614555,126.9256081,서울 마포구 동교로38길 34
코코호도 문래점,간식,4.7,3,37.5168974,126.8948179,서울 영등포구 당산로 26
파스퇴르 밀크바 롯데월드점,간식,4.3,18,37.5125915,127.099116,서울 송파구 올림픽로 240
리에제 와플 덕수궁점,간식,4.1,119,37.5648235,126.9764916,
삼진어묵 용산역사점,간식,4.0,8,37.5297718,126.9647415,
보앤미 신세계강남,간식,4.4,5,37.5043625,127.003641,서울 서초구 신반포로 176
앤티앤스 서울역점,간식,4.4,6,37.5529465,126.972607,서울 강서구 강서로45길 41
타르트팜 서울역점,간식,5.0,1,37.5548207,126.9714609,서울 중구 한강대로 405
본죽&비빔밥cafe 강남신사점,죽,4.3,9,37.5178543,127.0223203,서울 강남구 도산대로11길 5
송죽 충무로,죽,3.6,5,37.5628892,126.9921242,경남 창원시 진해구 충무로 43
본죽 대학로본점,죽,5.0,2,37.5788255,127.0017571,서울 종로구 대학로7길 3
본죽 영등포구청점,죽,4.8,6,37.5270324,126.8971431,서울 영등포구 당산로 138
본죽 송파석촌점,죽,5.0,3,37.5067026,127.1054364,서울 송파구 송파대로 453
본죽&비빔밥cafe 오목교역점,죽,5.0,1,37.5222631,126.8741601,서울 양천구 신목로 83
본죽&비빔밥cafe 길음역점,죽,5.0,2,37.6035829,127.0247191,서울 성북구 길음로 74
본죽 강동구청점,죽,5.0,1,37.5304166,127.1212526,서울 강동구 성내로 4
본죽&비빔밥cafe 은평신사점,죽,4.6,3,37.5981303,126.9104542,서울 은평구 은평로 23
본죽&비빔밥 문래힐스테이트점,죽,5.0,2,37.5193259,126.8891268,서울 영등포구 선유로 59
본죽&비빔밥cafe 신촌점,죽,4.7,6,37.5574794,126.9370688,서울 서대문구 연세로 20
본죽 명일역점,죽,4.6,2,37.5506942,127.1445047,서울 강동구 양재대로 1626
정  한뿌리죽 이촌,죽,4.0,1,37.5200186,126.9741837,서울 용산구 이촌로 245
본죽 우면점,죽,5.0,2,37.4707924,127.0255557,서울 서초구 바우뫼로7길 8
본죽&비빔밥 cafe 포이점,죽,5.0,2,37.4764958,127.0437199,서울 서초구 마방로10길 18-1
지니전복죽 역삼,죽,4.0,5,37.5037018,127.0366739,서울 강남구 봉은사로30길 59
본죽&비빔밥cafe 대흥역점,죽,4.9,4,37.5472607,126.9411235,서울 마포구 대흥로 79
본죽&비빔밥 돌곶이역점,죽,5.0,2,37.6094628,127.0582688,서울 성북구 돌곶이로 65
본죽 서초우체국점,죽,4.6,3,37.4693971,127.0411926,서울 서초구 동산로 14
본죽 중곡사거리점,죽,5.0,2,37.5593202,127.087896,서울 광진구 긴고랑로 115
