rest,category,score,count,latitude,longitude,post
파델라 연남동,양식,4.7,16,37.5606916,126.9223945,서울 마포구 연남로1길 11
오스테리아 오르조 한남동,양식,4.4,36,37.5349161,127.0095281,서울 용산구 한남대로20길 47
두오모 서촌,양식,4.7,17,37.5816121,126.9715675,서울 종로구 자하문로16길 5
가든 포에트 홍대,양식,4.5,25,37.5502111,126.9237118,서울 마포구 와우산로14길 12
페어링룸 청담,양식,4.1,25,37.5254116,127.0478303,서울 강남구 도산대로81길 14
그리노 성수동,양식,4.6,19,37.5479541,127.0576203,서울 성동구 성수이로 147
슬로우파크 삼청동,양식,4.7,13,37.5879212,126.9814919,서울 종로구 삼청로 141
연남토마 연남점,양식,4.3,38,37.5595232,126.9214704,서울 마포구 월드컵북로6길 61
연남토마 북촌점,양식,4.4,32,37.5793518,126.9827234,서울 종로구 북촌로5길 39
원 디그리 노스 강남구청역,아시안,4.6,17,37.5167856,127.0374458,서울 강남구 학동로43길 8
시누아즈 홍대,아시안,4.9,5,37.5616256,126.9273031,서울 서대문구 연희로 32-1
플레이버타운 서울숲,아시안,4.4,10,37.5469832,127.0429156,서울 성동구 서울숲4길 18-7
발리문 연남동,아시안,4.5,61,37.5620283,126.92449,서울 마포구 동교로 248-1
더 마칸 방이동,아시안,4.2,13,37.5132887,127.1105373,서울 송파구 올림픽로32길 37-4
모던 아시안 누들 서비스 가로수길,아시안,4.4,13,37.5218293,127.0211729,서울 강남구 강남대로162길 41-20
피에프창 롯데월드몰점,아시안,3.8,51,37.5134578,127.1033301,서울 송파구 올림픽로 300
다츠 한남동,아시안,4.1,28,37.536664,126.9990952,서울 용산구 이태원로55나길 6
발리인망원 망원동,아시안,4.2,34,37.5533041,126.9059134,서울 마포구 포은로 67
피에프창 코엑스점,아시안,3.8,35,37.5134281,127.0595829,서울 강남구 영동대로 517
수도원 대학로,아시안,4.4,12,37.5817524,127.0047776,서울 성북구 창경궁로43길 76
파파야리프 강남역,아시안,4.5,34,37.5029128,127.0276193,서울 강남구 강남대로102길 29
생어거스틴 상암,아시안,4.6,15,37.5815938,126.8870713,서울 마포구 월드컵북로58길 10
라오빠빠 오금역,아시안,4.2,10,37.5020226,127.1253591,서울 송파구 송이로17길 57
배불 동묘,아시안,4.5,6,37.5728874,127.0168309,서울 종로구 종로56길 5-6
월간우주 잠실새내,아시안,5.0,3,37.5092758,127.0817978,서울 송파구 백제고분로7길 24-30
4브라더스 도곡,아시안,4.4,50,37.484032,127.0453012,
라오 아시안 비스트로 합정,아시안,4.5,10,37.5543463,126.9160392,서울 마포구 잔다리로 77
chaotic 광화문,아시안,4.7,3,37.5729168,126.9700788,
까폼 압구정,아시안,4.2,57,37.5248766,127.0379906,서울 강남구 선릉로153길 18
서촌계단집 서촌,해산물,3.7,70,37.5764305,126.9714587,서울 종로구 자하문로1길 15
안주마을 서촌,해산물,4.4,43,37.5764582,126.9721722,서울 종로구 자하문로1길 3
맛짱조개 강남구청역,해산물,4.5,45,37.5166133,127.0370096,서울 강남구 언주로134길 18
바이킹스워프 롯데월드몰점,해산물,4.2,37,37.5132384,127.1037831,서울 송파구 올림픽로 300
