언어명,관광지명,구분
중번체,景福宮守門將換崗儀式(수문장 교대의식),공연/행사
중번체,金浦機場樂天購物中心(롯데몰 김포공항),쇼핑
중번체,狎鷗亭羅德奧街(압구정 로데오거리),체험관광지
중번체,順美家幸福醬蟹 東大門(순미네행복게장 동대문),음식점
중번체,首爾世界盃體育場(서울월드컵경기장),육상 레포츠
중번체,北漢山國立公園(首爾)(북한산국립공원(서울)),자연관광지
중번체,光化門(광화문),역사관광지
중번체,SPAO(明洞店)(스파오 (명동점)),쇼핑
중번체,鷺梁津水産批發市場(노량진수산물도매시장),쇼핑
중번체,國立中央博物館(국립중앙박물관),문화시설
중번체,Burdeng童裝商城(부르뎅아동복),쇼핑
중번체,時代廣場(TIMES SQUARE)(타임스퀘어),쇼핑
중번체,松坡渡口公園(石村湖)(송파나루공원(석촌호수),휴양관광지
중번체,漢江市民公園纛島地區(纛島漢江公園)(한강시민공원 뚝섬지구(뚝섬한강공원)),휴양관광지
중번체,KT&G想像庭院(弘大)(KT&G 상상마당(홍대)),문화시설
중번체,三清洞麵疙瘩(삼청동수제비),음식점
중번체,清潭洞時尚街(청담패션거리),체험관광지
중번체,通仁市場(통인시장),쇼핑
중번체,梨泰院購物街(이태원 쇼핑거리),체험관광지
중번체,首爾Kidzania(키자니아 서울),체험관광지
중번체,滿足五香豬蹄 弘大( 만족오향족발 홍대 ),음식점
중번체,"五花肉大總統_(삼겹살전문점대통령）",음식점
중번체,美利來(Migliore)(東大門店)(밀리오레 (동대문점)),쇼핑
중번체,MARIO折扣購物中心(마리오아울렛),쇼핑
중번체,ARTKOREA[韓國觀光品質認證/Korea Quality](아트코리아[한국관광 품질인증/Korea Quality]),쇼핑
중번체,昌慶宮(창경궁),역사관광지
중번체,百年土種蔘雞湯(백년토종삼계탕),음식점
중번체,Charlotte劇場(샤롯데씨어터),문화시설
중번체,兒童會館雪橇場(어린이회관 눈썰매장),육상 레포츠
중번체,德壽宮王宮守門將換崗儀式(덕수궁 왕궁수문장교대의식),공연/행사
중번체,曹溪寺(首爾)(조계사(首爾)),역사관광지
중번체,首爾歷史博物館(서울역사박물관),문화시설
중번체,KAKAO FRIENDS弘大旗艦店(카카오프렌즈 홍대 플래그십 스토어),쇼핑
중번체,現代百貨公司(狎鷗亭總店)(현대백화점 (압구정본점)),쇼핑
중번체,樂天世界室內溜冰場(롯데월드 아이스링크(실내)),육상 레포츠
